"website","url","latitude","longitude","country","province","city","address","road_margin","schedule","company","sales_type","fuel_type","fuel_price","last_update_date","insert_date"
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/19879,42.811139,-8.545361,ES,CORUÑA (A),TEO,CARRETERA C-541 KM. 6,I,L-V: 07:30-22:00; S-D: 08:00-22:00,GV OIL,P,GA+,1.519,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/20036,42.326361,-7.877944,ES,OURENSE,OURENSE,"RUA MARCELO MACIAS, 142",D,L-D: 24H,PLENOIL,P,GA,1.469,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/6576,28.651028,-17.867278,ES,SANTA CRUZ DE TENERIFE,PASO (EL),"CARRETERA PADRON KM. 24,300",N,L-D: 24H,SHELL,P,GA+,1.525,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/12475,27.753306,-15.601944,ES,PALMAS (LAS),MASPALOMAS,"CARRETERA C-812 KM. 56,8",D,L-D: 24H,CEPSA MASPALOMAS,P,SP95,1.329,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/20741,42.193444,-8.651722,ES,PONTEVEDRA,TAMEIGA (SAN MARTIÑO),AUTOVIA A-55 KM. 10,D,L-D: 24H,CEPSA,P,GA+,1.744,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/1970,41.532611,2.105417,ES,BARCELONA,SABADELL,"CL JOAQUIN BLUME, 1",D,L-D: 24H,REPSOL,P,GLP,0.969,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/8378,40.268028,-4.981472,ES,ÁVILA,SAN ESTEBAN DEL VALLE,CARRETERA SANTA CRUZ DEL VALLE KM. S/N,N,L-D: 24H,"SAN PEDRO BAUTISTA VILLACASTIN, S.COOP",R,GA,1.55,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/19686,39.884917,4.246694,ES,BALEARS (ILLES),MAO,"CARRER ARTRUXT, 7",D,L-D: 24H,AUTONETOIL,P,GA,1.639,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18468,41.551722,2.025361,ES,BARCELONA,TERRASSA,"AVENIDA SANTA EULALIA, DE, 240",D,L-D: 24H,BENZOIL,P,SP95,1.494,2023-11-12,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/15957,39.931306,-0.196389,ES,CASTELLÓN / CASTELLÓ,BETXI,"CR CS-233, 2,8",I,L-V: 07:00-20:45; S: 07:00-13:45,PETRONOR,P,SP98,1.749,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/5552,38.038472,-1.501,ES,MURCIA,MULA,"CTRA.CARAVACA, S/N",D,L-D: 24H,FRUCIMU,P,GA,1.42,2023-11-10,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/14321,37.189139,-5.765528,ES,SEVILLA,UTRERA,CARRETERA A-394 KM. 18,D,L-D: 06:00-22:00,PETRONOR,P,GA+,1.709,2023-11-21,2023-11-22
